ポストURL,いいね数,RT数,インプ数,投稿者名,投稿テキスト,投稿日時,画像,収集日時
https://x.com/momo_fukuen/status/2030981489702347108,21,0,3103,もも｜回避型彼氏と復縁,男の本音だと思う。ブロックせず距離を取るって選択をしてる時点でちゃんと彼の気持ちは残ってるんだよね。だから彼とLINEが続かない理由ってシンプルで『回避型が返しづらいLINE』になっちゃってるだけ。「元気？」「会いたい」みたいなLINEを送ると反応に困るし罪悪感で逃げるしかなくなる。だから、,3月9日,,3月21日
https://x.com/momo_fukuen/status/2030841015142420934,142,2,16758,もも｜回避型彼氏と復縁,元彼が言う「復縁は絶対ない」「俺よりいい人見つけて幸せになって」って本心じゃない。男って別れ際ほど冷たい言葉で突き放そうとするし、自分に言い聞かせるように断言しがち。でもそれって『未練や迷いがあるから』なんだよね。本気で冷めてたらいちいち強い言葉を使う必要ない。特に回避型は、,3月9日,,3月21日
https://x.com/momo_fukuen/status/2030613366642020531,236,2,30101,もも｜回避型彼氏と復縁,『振られても一途』って元彼にめっちゃ刺さる。完全放置が効くのなんて自信満々の男だけ。現代の男はほぼ回避型だから放置だけだとうまくいかないんだよね。回避傾向ある男は「もう俺のことは吹っ切れたんだな」って冷却期間中に前に進むモードになるから。回避型と恋愛してる人は知ってると思うけど、,3月8日,,3月21日
https://x.com/momo_fukuen/status/2030475686948012539,136,5,30106,もも｜回避型彼氏と復縁,男って『自分から終わらせた関係』ほど未練を引きずる生き物。特に回避型はかなりわかりやすくて、振ったのにブロックしないのって『後悔や未練に揺れてるサイン』なんだよね。人間関係リセット癖ある回避型は本気で戻る気なかったら完全に縁を切るから。だからここで『正しい順番』で関係修復すれば、,3月8日,,3月21日
https://x.com/momo_fukuen/status/2030547057799512244,118,3,14444,もも｜回避型彼氏と復縁,復縁した彼いわく「彼女を振った罪悪感はガチできつい」らしい。回避型なんてその典型で「幸せにすべき相手を傷つけた」っていう事実が自尊心を削るから、女性より深く引きずるんだよね。だから自分が振った時の方が未練も強い。『罪悪感＝愛情』の裏返しだから、そこをうまく誘導すれば復縁は叶うよ。,3月8日,,3月21日
https://x.com/momo_fukuen/status/2030249285510729810,73,1,7498,もも｜回避型彼氏と復縁,回避型が本命にだけ見せる弱さがある。それは『幸せを感じた瞬間に逃げたくなること』。関係が深まると距離を取るんだよね。幸せすぎると「いつか終わる」って未来の別れが怖くて、だったら自分から終わらせた方がマシって考えるの。逆に言えば別れを選んだ時点でそれくらい彼女を本気で、,3月7日,,3月21日
https://x.com/momo_fukuen/status/2030406134276800650,73,0,4783,もも｜回避型彼氏と復縁,回避型は自己防衛で別れを選ぶから、振った瞬間から後悔が始まる。私の彼も別れた日の夜からずーっと「本当にこれでよかったのか」って考えてたんだって。付き合ってる時の不安より、別れた後の喪失感の方が圧倒的に重いみたい。だから振られても諦めなくて大丈夫。彼の未練は想像以上に深いから。,3月8日,,3月21日
https://x.com/momo_fukuen/status/2030115289980096754,139,7,16018,もも｜回避型彼氏と復縁,回避型は『彼女にのめり込みそうになったタイミング』で自分から振ることが多い。愛が大きくなってキャパオーバー。「好きすぎて無理」って逃げるのが回避型の特徴。矛盾してる生き物なの。つまり『回避型が逃げる＝ど本命』だから復縁は現実的に可能。でも「自分といると彼女は幸せになれない」って、,3月7日,,3月21日
https://x.com/momo_fukuen/status/2030115292698005813,20,0,2632,もも｜回避型彼氏と復縁,本気で思ってるから自分から連絡なんてしてこない。私の復縁した彼も別れ際「俺よりいい人いるよ」って言ってきたんだよね。それ聞いたとき放置は絶対まずいって確信した。実際、回避型は放置すると「俺がいなくても平気なんだ」って思って冷める。しかも一人が楽だから「別れたのは正しかった」に、,3月7日,,3月21日
https://x.com/momo_fukuen/status/2030205776653124034,54,2,4528,もも｜回避型彼氏と復縁,回避型と復縁できる女性は『好意を見せるのに重くならない』バランスが超うまいの。私は自分から連絡ガンガンしてたからふつうに好きバレしてたでも彼はそのどストレートな気持ちが嬉しかったらしい。愛に飢えてる回避型の心を動かすのは駆け引きより愛情。重さも執着も見せ方次第で武器になるからね,3月7日,,3月21日
https://x.com/momo_fukuen/status/2029894594394214836,164,1,22245,もも｜回避型彼氏と復縁,元彼が『ブロックしない/連絡先を残す』のは未練を引きずってるサイン。復縁する気が一切ないほど気持ちが冷めてたら元カノとは完全に縁を切る。回避型はそこらへん容赦ない。逆にまだ縁がつながってるなら「もしかしたら戻る可能性があるかも」って彼自身が感じてる証拠。それなのに進展しないのは、,3月6日,,3月21日
https://x.com/momo_fukuen/status/2029924901566722116,50,0,3382,もも｜回避型彼氏と復縁,復縁した回避型の彼、今でもたまに回避行動するんだけど、私のことを傷つけないようにってめっちゃ考えてる。『LINEスルー＝愛がない』じゃなくて『気まずくて言葉が出ない』か『私との関係を壊さないために沈黙してる』だけ。だから別れたあと連絡がなくても「復縁は無理」って思わなくていいからね,3月6日,,3月21日
https://x.com/momo_fukuen/status/2029755280129675368,99,3,21725,もも｜回避型彼氏と復縁,男の『回避モード』って、外から見たら脈なしと見分けがつかないんだよねだから多くの人が「もう無理だ」って諦めちゃう。でも見極めのポイントがあって『拒絶サインがあるかどうか』。「もう連絡してこないで」って言われたり、すべてブロックされたら拒絶のサイン。冷却期間をとるべき。でも、,3月6日,,3月21日
https://x.com/momo_fukuen/status/2029835655619256404,71,0,5854,もも｜回避型彼氏と復縁,本命を振った回避型が幸せになれるはずがないんだよね。逃げてる間はずーっと苦しいし、罪悪感が大きくなる。心のどこかでは『彼女と向き合うしかない』ってわかってる。私の彼も別れた後の方がつらかったらしいじわじわ後悔してる回避型に「今なら戻っても大丈夫かも」って思わせたら復縁は勝ちだよ,3月6日,,3月21日
https://x.com/momo_fukuen/status/2029755283678056704,30,0,3577,もも｜回避型彼氏と復縁,ただのLINEスルーや誘いを断られたくらいなら回避モード特有の「試し行為」の可能性が高い。彼はあなたの反応を見ながら、どうするか悩んでる。接し方次第で、早い人だと1〜2週間で彼の優しさが戻ってきてる私は1ヶ月だった。ここで放置しすぎると気まずさから距離ができるから要注意。大事なのは、,3月6日,,3月21日
https://x.com/momo_fukuen/status/2029675822165152061,62,3,3807,もも｜回避型彼氏と復縁,振った側の男性って、その判断が正しかったのかずっと苦しんでるらしい。男性からすると別れを選んだ責任ってかなり重いみたい。復縁した彼も「別れて自由になれると思ってたけど普通に落ち込んだ」って言ってた。冷たく見えても、ケロッとしてるように見えても内心引きずってる可能性は高いからね。,3月6日,,3月21日
https://x.com/momo_fukuen/status/2029555277931106788,98,2,6630,もも｜回避型彼氏と復縁,復縁は白黒つけないまま進めた方が絶対うまくいく。男は『友達でも恋人でもない関係』を意外と心地よく感じてるんだよね。私はその曖昧さを楽しんでた。焦らず自然体でいたら、気づいたら彼が戻ってきてた。グレーな関係を恐れない方が復縁は成功するよ。,3月5日,,3月21日
